"Station Name","OSI/NI No","Eastings","Northings","Height","FB Sort","FB No","Date built","Ord","DR","Grid Ref","Notes"
"Cappadavock","OSI",152100,252100,103,,"u269",,,".039","M 521 544",
"Gortaleam","OSI",154300,254300,132,,"u270",,,".039","M 543 650",
"Beg","OSI",155800,255800,160,,"u271",,,".039","M 558 732",
"Bushtown","OSI",163100,263100,105,,"u272",,,".039","M 631 644",
"Slieveroe","OSI",164400,264400,143,,"u273",,,".039","M 644 555",
"Mount Mary","P25 OSI",174144,257770,163,,"u274","tbc",1,".040","M 741 577",
"Rathmew","OSI",176300,270900,128,,"u275",,,".040","M 763 709",
"Carns","OSI",182400,278400,121,,"u276",,,".040","M 824 784",
"Coolteige Cross","OSI",186300,269300,123,,"u277",,,".040","M 863 693",
"Moydow","OSI",189100,258200,165,,"u278",,,".040","M 891 582",
"Red Hill","OSI",194300,252300,131,,"u279",,,".040","M 943 523",
"Bawn (Slieve Bawn)","OSI",195400,274300,262,,"u280",,,".040","M 954 743",
"Gorteengar","OSI",201100,268600,70,,"u281",,,".040","N 011 686",
"Carrow Beg","OSI",203800,259900,86,,"u282",,,".040","N 038 599",
"Feraghfad","OSI",214900,273700,121,,"u283",,,".041","N 149 737",
"Garrycam","OSI",218000,267700,200,,"u284",,,".041","N 180 677",
"Hill of Forgney","OSI",220000,254900,102,,"u285",,,".041","N 200 549",
"Lisnanagh","OSI",222700,273800,142,,"u286",,,".041","N 227 738",
"Hill of Laragh","OSI",231600,257200,123,,"u287",,,".041","N 316 572",
"Loughanstown","OSI",231900,268300,97,,"u288",,,".041","N 319 683",
"Dundonnell","OSI",234800,250800,135,,"u289",,,".041","N 348 508",
"Frewin Hill","OSI",237700,258500,171,,"u290",,,".041","N 377 585",
"Lispopple","OSI",241100,270000,98,,"u291",,,".041","N 411 700",
"Hill of Moat","OSI",245400,276400,241,,"u292",,,".041","N 454 764",
"Knockdrin","OSI",245700,257500,168,,"u293",,,".041","N 457 575",
"Knockeyon","OSI",246500,263900,215,,"u294",,,".041","N 465 639",
"Jeffrystown","OSI",251300,260000,141,,"u295",,,".041","N 513 600",
"Ben of Fore","OSI",252000,270600,216,,"u296",,,".042","N 520 706",
"Sionhill","OSI",256100,255800,152,,"u297",,,".042","N 561 558",
"Slieve na Calliagh","OSI",258600,277500,276,,"u298",,,".042","N 586 775",
"Delvin","OSI",259900,262700,113,,"u299",,,".042","N 599 627",
"Carrick","OSI",265800,273900,157,,"u300",,,".042","N 658 739",
"Commons of Lloyd","OSI",272200,276400,129,,"u301",,,".042","N 722 764",
"Hill of Ward","OSI",273500,264500,119,,"u302",,,".042","N 735 645",
"Faughan Hill","OSI",279400,269300,109,,"u303",,,".042","N 794 693",
"Tankardrath","OSI",285300,275000,120,,"u304",,,".042","N 853 750",
"Hill of Tara","OSI",291900,259700,159,,"u305",,,".042","N 919 597",
"Kingstown and Carnuff Great","OSI",292500,269000,139,,"u306",,,".043","N 925 690",
"Skreen","OSI",295200,260500,172,,"u307",,,".043","N 952 605",
"Dunshaughlin","OSI",296600,251600,119,,"u308",,,".043","N 966 516",
"Dunore Reservoir","OSI",304000,271800,121,,"u309",,,".043","O 040 718",
"Glebe West","OSI",306400,258200,168,,"u310",,,".043","O 064 582",
"Hilltown Little","OSI",307800,267000,159,,"u311",,,".043","O 078 670",
"Moneymore","OSI",308600,275900,67,,"u312",,,".043","O 086 759",
"Knockaneek","OSI",309100,253400,82,,"u313",,,".043","O 091 534",
"Mullaghteelin","OSI",311800,266200,148,,"u314",,,".043","O 118 662",
"Knockbrack","OSI",315300,259300,176,,"u315",,,".043","O 153 593",
"South Bull","OSI",315400,276100,19,,"u316",,,".043","O 154 761",
"Balsaddan","OSI",317800,264000,68,,"u317",,,".043","O 178 640",
"Baldongan","OSI",324000,257400,69,,"u318",,,".043","O 240 574",
"Knockbrack","OSI",331600,251000,126,,"u319",,,".043","O 316 510",
"Doon Hill","OSI",59300,242500,64,,"u320",,,".044","L 593 425",
"Errisbeg","OSI",69700,240100,300,,"u321","NoFB",,".044","L 697 401",
"Croaghnakeela","OSI",68500,232500,63,,"u322",,,".044","L 685 325",
"Cashel Hill","OSI",80000,243600,311,,"u323","NoFB",,".044","L 800 436",
"Cnoc Mordain","OSI",86400,237700,354,,"u324","NoFB",,".044","L 864 377",
"Lettermore","OSI",89100,228500,117,,"u325","NoFB",,".044","L 891 285",
"Binn Mhor (Binn Mhór)","OSI",91800,249400,661,,"u326",,,".044","L 918 494",
"Shannawona","P23 OSI",101238,239727,346,,"u327","NoFB",1,".045","M 012 397",
"Bovroughaun Hill","OSI",101500,228500,164,,"u328",,,".045","M 015 285",
"Knocknalee Hill","OSI",111800,236900,291,,"u329",,,".045","M 118 369",
"Keeraunduff Hill","OSI",114700,226300,124,,"u330",,,".045","M 147 263",
"Killagoola Hill","OSI",120600,231200,142,,"u331",,,".045","M 206 312",
"Tonabrocky","OSI",125900,227300,111,,"u332",,,".045","M 259 273",
"Barranny","OSI",129600,235300,17,,"u333",,,".045","M 296 353",
"Briar Hill","OSI",133700,226800,71,,"u334",,,".046","M 337 268",
"Knockma","P24 OSI",136160,248369,167,,"u335","NoFB",1,".046","M 361 483",
"Knockdoe","OSI",140400,236700,70,,"u336",,,".046","M 404 367",
"Knocknacreeve","OSI",144900,228800,73,,"u337",,,".046","M 449 288",
"Gortbeg","OSI",147100,245200,67,,"u338",,,".046","M 471 452",
"Knockroe","OSI",150700,241300,168,,"u339","NoFB",,".046","M 507 413",
"Knock","OSI",152900,247700,115,,"u340",,,".046","M 529 477",
"Cloonbrusk","OSI",154900,229000,80,,"u341",,,".046","M 549 290",
"Ballybaun","OSI",159100,220800,71,,"u342",,,".046","M 591 208",
"Knockaboy","OSI",160300,232800,112,,"u343",,,".046","M 603 328",
"Moneyveen","OSI",168900,233400,120,,"u344",,,".046","M 689 334",
"Doonaree","OSI",171900,224300,151,,"u345",,,".046","M 719 243",
"Knockroe","OSI",180500,230300,93,,"u346",,,".047","M 805 303",
"Sheepwalk","OSI",183500,223000,98,,"u347",,,".047","M 835 230",
"Cronin","OSI",185600,248100,96,,"u348",,,".047","M 856 481",
"Cuilleenoolagh","OSI",190700,244400,118,,"u349",,,".047","M 907 444",
"Collderry","OSI",191200,230000,98,,"u350",,,".047","M 912 300",
"Shannonbridge","OSI",197400,224600,83,,"u351","WD BS",,".047","M 974 246",
"Kilmocolmock","OSI",199300,237800,85,,"u352",,,".047","M 993 378",
"Kilfaughny","OSI",209900,249700,94,,"u353",,,".047","N 099 497",
"Tullaghmore Hill","OSI",204900,230000,79,,"u354",,,".047","N 049 300",
"Knockdomny","OSI",216400,239400,157,,"u355",,,".048","N 164 394",
"Knockastia","P26 OSI",224338,243378,200,,"u356","tbc",1,".048","N 243 433",
"Trumpet Hill","OSI",227500,227000,86,,"u357",,,".048","N 275 270",
"Knockmore","OSI",237100,239200,122,,"u358",,,".048","N 371 392",
"Lackan Hill","OSI",241500,231300,133,,"u359",,,".048","N 415 313",
"Cnocballyboy","OSI",244300,226000,110,,"u360",,,".048","N 443 260",
"Gaybrook","OSI",245700,246500,138,,"u361",,,".048","N 457 465",
"Croughan Hill (Croghanhill)","P27 OSI",248104,233100,234,,"u362","tbc",1,".048","N 481 331",
"Killoneen","OSI",249700,227800,116,,"u363",,,".048","N 497 278",
"Walsh Island","OSI",252000,221100,107,,"u364",,,".049","N 520 211",
"Ballystrig","OSI",255000,233800,114,,"u365",,,".049","N 550 338",
"Ballynakill","OSI",260300,228800,109,,"u366",,,".049","N 603 288",
"Hill of Down","OSI",265300,246800,98,,"u367",,,".049","N 653 468",
"Carbury (Hill)","OSI",268600,234600,142,,"u368",,,".049","N 686 346",
"Lullymore East","OSI",271000,225500,93,,"u369",,,".049","N 710 255",
"Connellstown","OSI",275900,244200,123,,"u370",,,".049","N 759 442",
"Hill of Allen","OSI",275900,220400,219,,"u371",,,".049","N 759 204",
"Hodgetown","OSI",279000,231200,116,,"u372",,,".049","N 790 312",
"Ballynafagh","OSI",282500,229600,114,,"u373",,,".049","N 825 296",
"Cappagh","OSI",282800,241000,138,,"u374",,,".049","N 828 410",
"Summerhill Demesne","OSI",284600,247900,128,,"u375",,,".049","N 846 479",
"Mullagh","OSI",290700,245900,131,,"u376",,,".049","N 907 459",
"Lyons Hill","OSI",297600,227600,197,,"u377","Hotine",,".050","N 976 276",
"Cupidstown Hill","OSI",300600,220600,"h",,"u378",,,".050","O 006 206",
"Cherry Orchard Hospital","OSI",308100,233800,55,,"u379",,,".050","O 081 338",
"Dunblin Observatory","OSI",310500,238700,84,,"u380",,,".050","O 105 387",
"Mountambrose Little","OSI",314900,247800,77,,"u381",,,".050","O 149 478",
"Dublin Airport","OSI",316700,243600,80,,"u382",,,".050","O 167 436",
"Two Rock Mountain","OSI",317200,222300,536,,"u383",,,".050","O 172 223",
"Artane","OSI",318600,238200,43,,"u384",,,".050","O 186 382",
"Poolbeg Lighthouse","OSI",322300,233800,6,,"u385",,,".050","O 223 338",
"Robswalls","OSI",323300,245300,59,,"u386",,,".050","O 233 453",
"Eochaill","OSI",86100,209700,123,,"u387",,,".051","L 861 097",
"Knockardakin","OSI",104300,192600,203,,"u388",,,".051","R 043 926",
"Slieve Elva","OSI",115000,204300,344,,"u389",,,".051","M 150 043",
"Gleninagh Mountain","OSI",117900,209400,317,,"u390",,,".051","M 179 094",
"Cappaghkennedy","OSI",131000,197900,237,,"u391",,,".051","R 310 979",
"Slievecarran","OSI",132400,205400,328,,"u392",,,".052","M 324 054",
"Monreagh","OSI",139800,191900,66,,"u393",,,".052","R 398 919",
"Cahernalinsky","OSI",142300,213800,31,,"u394",,,".052","M 423 138",
"Bunduff","OSI",144500,205800,123,,"u395",,,".052","M 445 058",
"Maghera","OSI",151800,191000,400,,"u396",,,".052","R 518 910","X"
"Cloghaun","OSI",155100,209000,289,,"u397",,,".052","M 551 090",
"Cashlaundrumlahan","P30 OSI",159030,205088,358,,"u398","tbc",1,".052","M 590 050",
"Cappaghabaun Mountain","OSI",167700,192200,378,,"u399",,,".052","R 677 922",
"Terry Hill","OSI",169200,203700,181,,"u400",,,".052","M 692 037",
"Derryfrench","OSI",174300,212500,103,,"u401",,,".053","M 743 125",
"Church Hill","OSI",181800,207300,91,,"u402",,,".053","M 818 073",
"Kilgarvan Hill","OSI",183700,194800,146,,"u403",,,".053","R 837 948",
"Redmount Hill","P31 OSI",190443,219100,128,,"u404","tbc",1,".053","M 904 191",
"Grange","OSI",191700,207200,108,,"u405",,,".053","M 917 072",
"Knockshigowna","OSI",200300,195800,212,,"u406",,,".053","S 003 958",
"Cloghan Hill","OSI",208900,218800,114,,"u407",,,".053","N 089 188",
"Knock","OSI",211400,197400,194,,"u408",,,".053","S 114 974",
"Kiltubbrid Island","OSI",216300,208100,128,,"u409",,,".054","N 163 081",
"Ballyduff","OSI",219100,191700,245,,"u410",,,".054","S 191 917",
"Arderin","OSI",223200,198900,527,,"u411",,,".054","S 232 989",
"Mullaghcrohy","OSI",225100,216600,131,,"u412",,,".054","N 251 166",
"Stillbrook Hill","OSI",226100,202900,514,,"u413",,,".054","N 261 029",
"Baureigh","P32 OSI",227332,204762,487,,"u414","tbc",1,".054","N 273 047",
"Antonian","OSI",236600,204700,350,,"u415",,,".054","N 366 047",
"Danganbeg","OSI",239100,217600,143,,"u416",,,".054","N 391 167",
"Wood Hill","OSI",245200,205400,106,,"u417",,,".054","N 452 054",
"Wolftrap Mountain","OSI",246600,201200,487,,"u418",,,".054","N 436 012",
"Portlaoise","OSI",246800,198700,118,,"u419",,,".054","S 468 987",
"Carrigeen","OSI",255200,200900,218,,"u420",,,".055","N 552 009",
"Garryvacum Hill","OSI",256700,208800,123,,"u421",,,".055","N 567 088",
"Blackparks","OSI",267700,193600,99,,"u422",,,".055","S 677 936",
"Dunmurry (Hill)","P33 OSI",271384,214939,233,,"u423","tbc",1,".055","N 713 149",
"Bullhill","OSI",279000,202600,174,,"u424",,,".055","N 790 026",
"Loughmore Upper","OSI",288100,198800,262,,"u425",,,".055","S 881 262",
"Mullacash Hill","OSI",288800,213700,171,,"u426",,,".055","N 888 137",
"Church Mountain","OSI",294800,201200,544,,"u427",,,".056","N 948 012",
"Slieveroe","OSI",295300,214200,332,,"u428",,,".056","N 953 142",
"Lugnaquillia","P39 OSI",303209,191777,925,,"u429","tbc",1,".056","T 032 917",
"Mullaghcleevaun","OSI",306800,207100,849,,"u430",,,".056","O 068 071",
"Seahan","OSI",308100,219700,648,,"u431",,,".056","O 081 197",
"Tonelagee","OSI",308500,201600,817,,"u432",,,".056","O 085 016",
"Kirikee Mountain","OSI",313900,191100,474,,"u433",,,".056","T 139 911",
"Prince William's Seat","OSI",317700,218400,555,,"u434",,,".056","O 177 184",
"Djouce Mountain","OSI",317800,210300,725,,"u435",,,".056","O 178 103",
"Ballinacorbeg","OSI",318400,200200,336,,"u436",,,".056","O 184 002",
"Carrick Mountain","OSI",323200,194000,381,,"u437",,,".056","T 232 940",
"Dunranhill","OSI",326200,202200,342,,"u438",,,".056","O 262 022",
"Ballynamuddagh","OSI",328200,215800,240,,"u439",,,".056","O 282 158",
"Brides Hill","OSI",333800,192700,82,,"u440",,,".056","T 338 927",
"Drumellihy Hill","OSI",102500,164300,92,,"u441",,,".057","R 025 643",
"Spanish Point","OSI",103700,177600,"H",,"u442",,,".057","R 037 776",
"Mullagh","OSI",104400,172500,81,,"u443",,,".057","R 044 725",
"Gortaheera","OSI",110000,169000,175,,"u444",,,".057","R 100 690",
"Slieve Callan","P36 OSI",114422,177338,391,,"u445","NoFB",1,".057","R 144 773",
"Ben Dash","OSI",121100,171100,267,,"u446",,,".057","R 211 711",
"Carrownagarraun","OSI",125200,189500,189,,"u447",,,".057","R 252 895",
"Cloughhaknorcamush","OSI",126400,170000,151,,"u448",,,".057","R 264 700",
"Cooga","OSI",126800,161500,103,,"u449",,,".057","R 268 615",
"Deroolagh","OSI",127200,182800,190,,"u450",,,".057","R 272 828",
"Tullagh","OSI",128900,177100,145,,"u451",,,".057","R 289 771",
"Coney Island","OSI",132600,162800,59,,"u452",,,".058","R 326 628",
"Ennis","OSI",133900,177500,30,,"u453",,,".058","R 339 775",
"Mooghaun South","OSI",140700,170500,79,,"u454",,,".058","R 407 705",
"Bunratty East","OSI",144600,161900,60,,"u455",,,".058","R 446 619",
"Caher","OSI",146000,187900,250,,"u456",,,".058","R 460 879",
"Deerpark South","OSI",147100,173800,101,,"u457",,,".058","R 471 738",
"Knockadoon","OSI",149700,178800,93,,"u458",,,".058","R 497 788",
"Woodcock Hill","OSI",152200,163400,310,,"u459",,,".058","R 522 634",
"Knockanuarha","OSI",153300,169800,309,,"u460",,,".058","R 533 698",
"Ballycar South","OSI",155800,164000,255,,"u461",,,".058","R 558 640",
"Cloongaheen","OSI",159700,174600,335,,"u462",,,".058","R 597 746",
"Cragnamurragh","OSI",162800,174900,526,,"u463",,,".058","R 628 749",
"Cappakee","OSI",163200,166400,149,,"u464",,,".058","R 632 664",
"Doonass","OSI",164300,163000,60,,"u465",,,".058","R 643 630",
"Gortybrigane","OSI",172000,168400,147,,"u466",,,".059","R 720 684",
"Tountinna","OSI",173654,177158,450,,"u466.2",,,".059","R 736 771","O Q U Z"
"Knockmeale","OSI",177400,169200,235,,"u467",,,".059","R 774 692",
"Keeper (Hill)","P37 OSI",182395,166701,694,,"u468","tbc",1,".059","R 823 667",
"Knigh Hill","OSI",185200,185800,133,,"u469",,,".059","R 852 858",
"Mauherslieve","OSI",187300,161900,543,,"u470",,,".059","R 873 619",
"Sgreggaun","OSI",193100,184900,182,,"u471",,,".059","R 931 849",
"Knockadigeen Hill","OSI",193500,170800,402,,"u472",,,".059","R 935 708",
"Knockanora","OSI",201000,171100,433,,"u473",,,".059","S 010 711",
"Devilsbit Mountain","OSI",205800,174400,480,,"u474","NoFB",,".059","S 058 744",
"Ballymoheen","OSI",209000,183300,236,,"u475",,,".059","S 090 833",
"Black Hill","OSI",216000,182700,228,,"u476",,,".060","S 160 827",
"Tullow Hill","OSI",219600,172000,162,,"u477",,,".060","S 196 720",
"Knockseera","OSI",227500,185800,187,,"u478",,,".060","S 275 858",
"Killoshulan","OSI",233200,165400,349,,"u479",,,".060","S 332 654",
"Gortnaclea","OSI",236800,186100,155,,"u480",,,".060","S 368 861",
"The Ballagh","OSI",240500,174900,253,,"u481",,,".060","S 405 749",
"Cromwell's Road","OSI",247400,176200,313,,"u482",,,".060","S 474 762",
"Cuillenagh (Mountain)","P38 OSI",249858,189562,317,,"u483","tbc",1,".060","S 498 895",
"Brennanshill","OSI",257100,186600,326,,"u484",,,".061","S 571 866",
"Mountnugent","OSI",257600,163600,334,,"u485",,,".061","S 576 636",
"Lackan","OSI",264100,163300,302,,"u486",,,".061","S 641 633",
"Rossmore","OSI",266800,174000,336,,"u487",,,".061","S 668 740",
"Mullaghreelan","OSI",275800,187700,140,,"u488",,,".061","S 758 877",
"Knockbower","OSI",276200,168600,195,,"u489",,,".061","S 762 686",
"Knockbarragh","OSI",286000,161500,215,,"u490",,,".061","S 860 615",
"Tullow Hill","OSI",286500,173200,135,,"u491",,,".061","S 865 732",
"Pinnacle","OSI",288500,189200,382,,"u492",,,".061","S 885 892",
"Aghowle Upper","OSI",294500,168200,420,,"u493",,,".062","S 945 682",
"Keadeen Hill","OSI",295300,189700,653,,"u494",,,".062","S 953 897",
"Eagle Hill","OSI",297100,179000,296,,"u495",,,".062","S 971 790",
"Ballynamanoge","OSI",302700,175800,431,,"u496",,,".062","T 027 758",
"Castletimon","OSI",303800,186600,238,,"u497",,,".062","T 038 866",
"Hillbrook Upper","OSI",305000,166300,323,,"u498",,,".062","T 050 663",
"Ballycreen (Croaghanmoira Moun","OSI",309900,186500,664,,"u499",,,".062","T 099 865",
"Croghan","OSI",313000,172800,606,,"u500",,,".062","T 130 728",
"Laraheenhill","OSI",313800,164800,243,,"u501",,,".062","T 138 648",
"Killeagh","OSI",318000,180800,249,,"u502",,,".062","T 180 808",
"Tara (Tara Hill)","OSI",320500,162300,253,,"u503",,,".062","T 205 623",
"Kilmacoo","OSI",321900,184200,255,,"u504",,,".062","T 219 842",
"Arklow Rock","OSI",324800,170200,125,,"u505",,,".062","T 248 702",
"Ballymoyle (Glenteige)","OSI",325600,179000,280,,"u506",,,".062","T 256 790",
"Mizen Head","OSI",330400,180200,14,,"u507",,,".062","T 304 802",
"Loop Head","OSI",70900,148500,78,,"u508",,,".063","Q 709 485",
"Maulin Mountain","OSI",73100,130400,215,,"u509",,,".063","Q 731 304",
"Rehy Hill","OSI",80000,148400,116,,"u510",,,".063","Q 800 484",
"Oldtown","OSI",81400,155000,127,,"u511",,,".063","Q 814 550",
"Ballinglanna","OSI",81700,132000,77,,"u512",,,".063","Q 817 320",
"Coosheen","OSI",89700,162400,102,,"u513",,,".063","Q 897 624",
"Knockanore Mountain","OSI",91000,142500,267,,"u514",,,".063","Q 910 425",
"Shanganagh","OSI",93300,155200,66,,"u515",,,".063","Q 933 552",
"Doonmore","OSI",94300,165700,53,,"u516",,,".063","Q 943 657",
"Slievecahill","OSI",99100,131900,99,,"u517",,,".063","Q 991 319",
"Ballyurra","OSI",99500,156200,63,,"u518",,,".063","Q 995 562",
"Knockane","OSI",100500,136800,94,,"u519",,,".064","R 005 368",
"Glansillagh","OSI",102800,146400,67,,"u520",,,".064","R 028 464",
"Molougha","OSI",104900,154500,69,,"u521",,,".064","R 049 545",
"Tullycreen Lower","OSI",110300,158500,66,,"u522",,,".064","R 103 585",
"Knockathea","OSI",110800,133700,243,,"u523",,,".064","R 108 337",
"Glenagragara","OSI",113700,141400,243,,"u524",,,".064","R 137 414",
"Prospect Hill","OSI",116700,147500,136,,"u525",,,".064","R 167 475",
"Moyfadda","OSI",117800,155500,97,,"u526",,,".064","R 178 555",
"Moyreen","OSI",121500,143600,129,,"u527",,,".064","R 215 436",
"Knockanimpuha","OSI",121600,134500,344,,"u528",,,".064","R 216 345",
"Knockpatrick","OSI",124500,149700,172,,"u529",,,".064","R 245 497",
"Glenstar","OSI",125700,139400,242,,"u530",,,".064","R 257 394",
"Knockaderly","OSI",134400,135400,128,,"u531",,,".064","R 344 354",
"Ballyhibbin","OSI",137500,147200,68,,"u532",,,".064","R 375 472",
"Newtown","OSI",138400,154300,41,,"u533",,,".064","R 384 543",
"Ballyea","OSI",139100,136100,214,,"u534",,,".064","R 391 361",
"Court","OSI",147300,152200,26,,"u535",,,".064","R 473 522",
"Briska","OSI",150200,151800,40,,"u536",,,".065","R 502 518",
"Corronoher","P43 OSI",140989,131064,273,,"u537","tbc",1,".065","R 409 310",
"Cloonnagalleen","OSI",142300,151100,76,,"u538",,,".065","R 423 511",
"Knockfeerina","OSI",145100,136100,288,,"u539",,,".065","R 451 361",
"Kilfinny","OSI",146000,139700,73,,"u540",,,".065","R 460 397",
"Carrig East","OSI",150100,156000,50,,"u541",,,".065","R 501 560",
"Tullovin","OSI",153200,139000,76,,"u542",,,".065","R 532 390",
"Knocktwo","OSI",158700,133900,105,,"u543",,,".065","R 587 339",
"Fedamore","OSI",158800,144200,99,,"u544",,,".065","R 588 442",
"Knockfea","OSI",161300,149500,119,,"u545",,,".065","R 613 495",
"Knockroe","OSI",166000,147600,204,,"u546",,,".065","R 660 476",
"Knockbrack","OSI",167400,158800,81,,"u547",,,".065","R 674 588",
"Knockainy","OSI",167700,136400,162,,"u548",,,".065","R 677 364",
"Knocklong","OSI",172300,130700,164,,"u549",,,".065","R 723 307",
"Knockseefin","OSI",175400,145000,225,,"u550",,,".065","R 754 450",
"Kilduffahoo","OSI",178600,156300,383,,"u551",,,".065","R 786 563",
"Knockouragh","OSI",183300,147200,116,,"u552",,,".066","R 833 472",
"Slievenamuck","OSI",184200,130500,369,,"u553",,,".066","R 842 305",
"Solloghodbeg Hill","OSI",188900,139900,134,,"u554",,,".066","R 889 399",
"Foildarg","OSI",189600,151100,440,,"u555",,,".066","R 896 511",
"Glencarbry","OSI",194200,152500,433,,"u556",,,".066","R 942 525",
"Knockballynoe","OSI",194200,136000,127,,"u557",,,".066","R 942 360",
"Knockalough","OSI",198200,158400,427,,"u558",,,".066","R 982 584",
"Graigue","OSI",208800,168300,138,,"u559",,,".066","S 088 683",
"Killough Hill","OSI",211100,150900,235,,"u560",,,".066","S 111 509",
"Graigue","OSI",212100,132000,138,,"u561",,,".066","S 121 320",
"Kill Hill","OSI",214600,143300,241,,"u562",,,".066","S 146 433",
"Slievenamon","OSI",229700,130700,721,,"u563",,,".067","S 297 307",
"Boggan","P44 OSI",232972,157038,339,,"u564","tbc",1,".067","S 329 570",
"Castlegannon","OSI",255200,130700,175,,"u565",,,".067","S 552 307",
"Kilvinoge","OSI",258500,133300,249,,"u566",,,".067","S 585 333",
"Coppenagh","OSI",265100,143400,365,,"u567",,,".068","S 651 434",
"Brandon Hill","OSI",269700,140200,515,,"u568",,,".068","S 697 402",
"Lorum","OSI",272900,157000,158,,"u569",,,".068","S 729 570",
"Knockmore","OSI",277600,149600,228,,"u570",,,".068","S 776 496",
"Bran Scultair","OSI",278500,140000,504,,"u571",,,".068","S 785 400",
"Mount Leinster","P45 OSI",282635,152537,795,,"u572","Hotine",1,".068","S 826 525","noFB"
"Tominearly","OSI",285300,132900,166,,"u573",,,".068","S 853 329",
"Rathnure","OSI",291000,138000,107,,"u574",,,".068","S 910 380",
"Kilcullen","OSI",291600,149100,218,,"u575",,,".068","S 916 491",
"Raheenahoon Hill","OSI",291600,130500,152,,"u576",,,".068","S 916 305",
"Gibbet Hill","OSI",294600,159100,315,,"u577",,,".068","S 946 591",
"Coolteige Hill","OSI",296200,133900,74,,"u578",,,".068","S 962 339",
"Coolteige","OSI",296300,133800,74,,"u579",,,".068","S 963 338",
"Vinegar Hill","OSI",298300,139800,118,,"u580",,,".068","S 983 398",
"Ballymurn","OSI",303900,133100,101,,"u581",,,".069","T 039 331",
"Ballydonigan","OSI",304100,144800,137,,"u582",,,".069","T 041 448",
"Oulart Hill","OSI",308600,141600,179,,"u583",,,".069","T 086 416",
"Carrigroe","P46 OSI",309295,149765,234,,"u584","tbc",1,".069","T 092 497",
"Ballinrooaun","OSI",310000,130300,101,,"u585",,,".069","T 100 303",
"Moneylawn Upper","OSI",312600,157700,175,,"u586",,,".069","T 126 577",
"Ballynamona","OSI",316200,138100,73,,"u587",,,".069","T 162 381",
"Raheen Beg","OSI",316900,149000,69,,"u588",,,".069","T 169 490",
"Seamount","OSI",320000,155500,31,,"u589",,,".069","T 200 555",
"Cahore Point","OSI",322300,147300,35,,"u590",,,".069","T 223 473",
"Lateevemore","OSI",40000,103400,318,,"u591",,,".070","Q 400 034",
"Brandon (Mountain)","OSI",46000,111600,952,,"u592",,,".070","Q 460 116",
"An Cnapan Mor","OSI",52200,104500,649,,"u593",,,".070","Q 522 045",
"Acres","OSI",57200,99800,286,,"u594",,,".070","V 572 998",
"Beenoskee","OSI",58000,108800,826,,"u595",,,".070","Q 580 088","R"
"Mount Eagle","OSI",109300,110300,431,,"u596",,,".070","R 093 103",
"Croaghmore","OSI",24600,95700,292,,"u597",,,".070","V 246 957",
"Doonties Commons","OSI",50200,98700,252,,"u598",,,".070","V 502 987",
"Barrow","OSI",74300,118700,44,,"u599",,,".071","Q 743 187",
"Baurtregaum","P42 OSI",74983,107664,851,,"u600","Hotine",1,".071","Q 749 076",
"Knockaclogher","OSI",80800,118100,106,,"u601",,,".071","Q 808 181",
"Kilbrickane","OSI",84100,125500,37,,"u602",,,".071","Q 841 255",
"Knockawaddra","OSI",85300,108300,342,,"u603",,,".071","Q 853 083",
"Crusline","OSI",89700,118800,355,,"u604",,,".071","Q 897 188",
"Lissataggle","OSI",92100,108300,88,,"u605",,,".071","Q 921 083",
"Banemore","OSI",95300,124700,272,,"u606",,,".071","Q 953 247",
"Knight's Mountain","OSI",98500,115100,333,,"u607",,,".071","Q 985 151",
"Cloghboola","OSI",102100,121300,307,,"u608",,,".072","R 021 213",
"Derk","OSI",105500,125700,259,,"u609",,,".072","R 055 257",
"Barna","OSI",110500,102200,321,,"u610",,,".072","R 105 022",
"Abbeyfeale East","OSI",112400,124200,244,,"u611",,,".072","R 124 242",
"Barrymurragh East","OSI",123100,129400,289,,"u612",,,".072","R 231 294",
"Rock hill","OSI",123800,118900,390,,"u613",,,".072","R 238 189",
"Knockacummer","OSI",125500,113300,408,,"u614",,,".072","R 255 133",
"Mullaghanuish","OSI",127600,122400,361,,"u615",,,".072","R 276 224",
"Scarteen Upper","OSI",130700,109000,265,,"u616",,,".072","R 307 090",
"Taur","OSI",132100,110100,405,,"u617",,,".072","R 321 101",
"Killinane","OSI",132700,100100,173,,"u618",,,".072","R 327 001",
"Knockskavane","OSI",133200,114400,282,,"u619",,,".072","R 332 144",
"Mayne","OSI",135000,129200,89,,"u620",,,".072","R 350 292",
"Delliga","OSI",140400,112500,166,,"u621",,,".073","R 404 125",
"Kilberrihert","OSI",141500,112500,246,,"u622",,,".073","R 415 125",
"Killabraher South","OSI",146600,117200,191,,"u623",,,".073","R 466 172",
"Gurteenroe Commons","OSI",147600,110200,198,,"u624",,,".073","R 476 102",
"Barna","OSI",148200,121100,167,,"u625",,,".073","R 482 211",
"Ballyteige Upper","OSI",151000,129600,125,,"u626",,,".073","R 510 296",
"Knockbarry","OSI",153200,108000,135,,"u627",,,".073","R 532 080",
"Charleville","OSI",153900,123200,125,,"u628",,,".073","R 539 232",
"Knocknatallig","OSI",157800,116600,363,,"u629",,,".073","R 578 166",
"Seefin Mountain","OSI",164400,118000,528,,"u630",,,".073","R 644 180",
"Ballyhourode","OSI",164600,108500,115,,"u631",,,".073","R 646 085",
"Carrigeenamroney","OSI",170000,116000,401,,"u632",,,".073","R 700 160",
